Sum_A^1,Sum_A^2,Sum_A^3,Sum_A^4,Sum_A^5,Sum_A^6,Sum_A^7,Sum_A^8,Sum_A^9,Sum_A^10,Sum_A^11,Sum_A^12,Sum_A^13,Sum_A^14,Sum_A^15,Sum_A^16,Sum_A^17,Sum_A^18,Sum_A^19,Sum_A^20,Sum_A^21,Sum_A^22,Sum_A^23,Sum_A^24,Sum_A^25,Sum_A^26,Sum_A^27,Sum_A^28,Sum_A^29,Sum_A^30,Sum_A^31,Sum_A^32,Sum_A^33,Sum_A^34,Sum_A^35,Sum_A^36,Sum_A^37,Sum_A^38,Sum_A^39,Sum_A^40,Sum_A^41,Sum_A^42,Sum_A^43,Sum_A^44,Sum_A^45,Sum_A^46,Sum_A^47,Sum_A^48,Sum_A^49,Sum_A^50
4.9698133,4.516493698,3.824036981,5.01296162,4.000189727,5.334424766,4.109875366,5.521047183,4.171814746,5.622739896,4.205018843,5.676267294,4.22234077,5.703931921,4.231251256,5.718095223,4.235802028,5.725311258,4.23811771,5.728978669,4.239293865,5.73084022,4.23989068,5.731784527,4.240193377,5.73226339,4.240346863,5.732506184,4.24042468,5.732629275,4.240464131,5.732691678,4.240484131,5.732723312,4.24049427,5.732739349,4.24049941,5.732747479,4.240502015,5.7327516,4.240503336,5.73275369,4.240504006,5.732754749,4.240504345,5.732755286,4.240504517,5.732755558,4.240504604,5.732755696
24.28306825,27.36429557,39.20518235,53.83395784,68.02150557,81.8977172,92.09429663,100.751565,105.4867983,109.6722016,111.0850009,113.0626189,113.0904735,114.2288786,113.7660492,114.6162861,113.9890531,114.7436181,114.0622325,114.7853557,114.0862154,114.7990323,114.0940759,114.8035155,114.0966533,114.8049858,114.0974988,114.8054682,114.0977763,114.8056266,114.0978674,114.8056786,114.0978973,114.8056956,114.0979071,114.8057012,114.0979103,114.8057031,114.0979114,114.8057037,114.0979117,114.8057039,114.0979119,114.805704,114.0979119,114.805704,114.0979119,114.805704,114.0979119,114.805704
27.72588722,32.73946883,38.50046559,59.90653062,64.410028,97.38442003,93.24692313,136.3467515,117.1122567,166.4334527,131.8589406,183.8546374,139.1735175,192.1288906,142.3838217,195.6821244,143.716459,197.1432108,144.2570927,197.7336543,144.4744332,197.9706473,144.5614957,198.0655225,144.5963229,198.1034653,144.610247,198.1186336,144.6158128,198.1246964,144.6180374,198.1271196,144.6189265,198.1280881,144.6192819,198.1284752,144.6194239,198.1286299,144.6194806,198.1286917,144.6195033,198.1287164,144.6195124,198.1287263,144.619516,198.1287303,144.6195175,198.1287318,144.619518,198.1287325
37.33508164,43.32731709,61.78834914,87.90030882,114.5016005,147.977145,174.6001998,208.1205331,226.2860236,252.5866044,258.1826328,276.300965,272.7405647,286.2633707,278.369091,289.9965192,280.4088947,291.3382349,281.1334244,291.8148367,281.3898023,291.9839647,281.4806753,292.0441282,281.512991,292.0656005,281.5245235,292.0732891,281.5286528,292.0760503,281.5301356,292.0770445,281.5306695,292.0774032,281.5308622,292.0775329,281.5309318,292.0775799,281.530957,292.0775969,281.5309662,292.0776031,281.5309695,292.0776054,281.5309707,292.0776062,281.5309712,292.0776065,281.5309713,292.0776066
28.77238351,31.58527455,38.20763356,54.37623206,64.23397399,85.15136642,95.55181029,117.0380936,124.5239246,142.7280232,145.2907233,159.0794346,157.0820992,167.6218584,162.6985161,171.515664,165.1186974,173.1639316,166.1141921,173.8384509,166.5157893,174.1105555,166.6765433,174.2196656,166.7406937,174.2633034,166.7662629,174.2807349,166.7764498,174.2876938,166.7805077,174.2904709,166.782124,174.2915789,166.7827679,174.2920209,166.7830244,174.2921972,166.7831265,174.2922675,166.7831673,174.2922955,166.7831835,174.2923067,166.7831899,174.2923112,166.7831925,174.292313,166.7831935,174.2923137
34.08199488,40.95653564,49.7881083,71.63889967,85.68950197,111.7959658,128.810536,152.8624404,171.7180905,190.9491991,207.6443296,222.7495301,231.5834874,243.2574644,244.1371104,253.4964669,249.7382905,257.9009107,252.0427061,259.673736,252.9579308,260.368895,253.3161411,260.6388722,253.455483,260.7433758,253.5095401,260.7837864,253.5304845,260.7994093,253.538594,260.8054495,253.5417328,260.8077849,253.5429474,260.808688,253.5434173,260.8090372,253.5435991,260.8091723,253.5436695,260.8092245,253.5436967,260.8092447,253.5437072,260.8092526,253.5437113,260.8092556,253.5437128,260.8092568
55.11974307,67.57979753,106.703372,159.0523671,219.1694584,283.1997821,344.1981062,398.7386271,443.650472,478.014748,501.9925418,517.3595648,526.5017507,531.6850587,534.5318013,536.0708819,536.894404,537.3334024,537.5665753,537.6903838,537.7560098,537.790815,537.8092527,537.8190275,537.8242045,537.8269486,537.8284018,537.8291721,537.8295799,537.8297961,537.8299106,537.8299712,537.8300034,537.8300204,537.8300294,537.8300342,537.8300367,537.830038,537.8300388,537.8300391,537.8300393,537.8300394,537.8300395,537.8300395,537.8300395,537.8300395,537.8300396,537.8300396,537.8300396,537.8300396
18.02182669,19.90273631,25.35188032,33.06880437,39.77687649,47.93601011,52.88992733,59.51636161,61.70006283,66.30948276,66.40412481,69.63767432,68.59374138,71.12041311,69.5458536,71.75249045,69.94744318,72.01683729,70.11464383,72.1265064,70.18388059,72.1718527,70.21248667,72.19057668,70.22429466,72.1983036,70.22916688,72.20149155,70.23117694,72.2028067,70.23200614,72.20334923,70.2323482,72.20357303,70.23248931,72.20366535,70.23254752,72.20370343,70.23257153,72.20371914,70.23258143,72.20372562,70.23258552,72.20372829,70.2325872,72.2037294,70.2325879,72.20372985,70.23258818,72.20373004
16.29573426,17.19060537,21.55560074,28.53532851,32.88542701,40.45856222,42.40738277,49.05847477,48.07040575,53.59872323,50.68781082,55.56413702,51.74884713,56.33900343,52.15617256,56.63332308,52.30935243,56.74355877,52.36651736,56.78463074,52.38778867,56.79990281,52.3956947,56.805577,52.39863174,56.80768446,52.39972257,56.80846707,52.40012765,56.80875767,52.40027807,56.80886557,52.40033393,56.80890563,52.40035466,56.8089205,52.40036236,56.80892603,52.40036522,56.80892808,52.40036628,56.80892884,52.40036668,56.80892912,52.40036682,56.80892922,52.40036688,56.80892926,52.4003669,56.80892928
19.40812106,22.81822373,28.59817259,41.54251808,45.94362905,63.11379785,60.32294307,79.53302214,68.79424158,88.56379895,72.82477379,92.694565,74.54802951,94.42830914,75.25097321,95.12995499,75.53219143,95.40974105,75.64381622,95.52065091,75.68798539,95.56451388,75.70544114,95.58184492,75.71233628,95.58869022,75.71505938,95.59139354,75.71613474,95.59246107,75.71655938,95.59288262,75.71672706,95.59304908,75.71679328,95.59311481,75.71681943,95.59314077,75.71682975,95.59315102,75.71683383,95.59315507,75.71683544,95.59315666,75.71683607,95.5931573,75.71683632,95.59315755,75.71683642,95.59315764
